proposalNum,label,ranking,manualSentence,autosentence,probability,sentenceHintProbablity,messageSubjectHintProbablityScore,authorRoleProbability,sentenceLocationHintProbability,dateDiffProbability,negationTermPenalty
201,accepted, ,Notice that there are no more Open Issues,NOT MATCHED,0,0,0,0,0,0,0
203,accepted, ,Augmented assignment is scheduled to go in soon well before 2 0b1 at least and if you don t spot the loony now we ll have to live with it forever,NOT MATCHED,0,0,0,0,0,0,0
214,accepted, ,Guido jumped into the threads himself explained his reasoning in detail refuted many of the counter suggestions decisively agreed he would reconsider it for P3K explained why he wouldn t reconsider Whether or not print grows one small and often requested btw option is in the grand scheme of things about as trivial as issues get,NOT MATCHED,0,0,0,0,0,0,0
221,accepted, ,PEP 214 and 221 are accepted as per recent BDFL pronouncements,NOT MATCHED,0,0,0,0,0,0,0
264,accepted, ,If anyone has objections to Michael Hudson s PEP 264 raise them now,NOT MATCHED,0,0,0,0,0,0,0
274,accepted, ,On 2012 04 09 the PEP was changed to reflect this reality by updating its Status to Accepted and updating the Python Version field,NOT MATCHED,0,0,0,0,0,0,0
279,accepted, ,Comments from the Community The response to the generator comprehension proposal has been mostly favorable,NOT MATCHED,0,0,0,0,0,0,0
279,accepted, ,I think I ve seen slightly more votes for enumerate than for itemize and after some thought I think the LaTeX example where enumerate creates numbered items does help even if few Python users know LaTeX I trust the linguistic sensibilities of LaTeX author,NOT MATCHED,0,0,0,0,0,0,0
285,accepted, ,The majority of reviewers so far are in favor ranging from 0 don t hate it to 1 yes please,NOT MATCHED,0,0,0,0,0,0,0
285,accepted, ,Despite the negative feedback I ve decided to accept the PEP,NOT MATCHED,0,0,0,0,0,0,0
285,accepted, ,There was a lot of negative feedback but there was also a lot of support for the PEP,NOT MATCHED,0,0,0,0,0,0,0
285,accepted, ,Other than that are there any concrete issues that have been raised that need to be addressed by the PEP,NOT MATCHED,0,0,0,0,0,0,0
285,accepted, ,there s no clear preference either way here so i ll break the tie by pronouncing false and true,NOT MATCHED,0,0,0,0,0,0,0
289,accepted, ,After much discussion on the python dev list the PEP has been resurrected its present form,NOT MATCHED,0,0,0,0,0,0,0
289,accepted, ,Based on the favorable feedback here and on python dev Guido has accepted the PEP for Py2 4,NOT MATCHED,0,0,0,0,0,0,0
289,accepted, ,After much discussion it was decided that the first outermost for expression should be evaluated immediately and that the remaining expressions be evaluated when the generator is executed,NOT MATCHED,0,0,0,0,0,0,0
289,accepted, ,Yes consensus clearly converged on the proposed syntax the mention of generators in the construct s name was the part that I think prompted the desire for yield had they been called iterator expressions I suspect nobody would have missed yield even transiently,NOT MATCHED,0,0,0,0,0,0,0
289,accepted, ,Comments from the Community The response to the generator comprehension proposal has been mostly favorable,NOT MATCHED,0,0,0,0,0,0,0
302,accepted, ,Consensus was quickly reached that Michael should first work on getting the module accepted into the language,NOT MATCHED,0,0,0,0,0,0,0
308,accepted, ,After a long discussion I ve decided to add a shortcut conditional expression to Python 2 5,NOT MATCHED,0,0,0,0,0,0,0
308,accepted, ,That issue was resolved by simply deferring to a BDFL best judgment call,NOT MATCHED,0,0,0,0,0,0,0
308,accepted, ,And this became a reason for Guido to just decide on his original favorite no explanation offered,NOT MATCHED,0,0,0,0,0,0,0
308,accepted, ,After years of arguing over which syntax to use and finally giving up since nobody could agree the Benevolent Dictator did what only a dictator can do and just made a damn decision already,NOT MATCHED,0,0,0,0,0,0,0
309,accepted, ,Well PEP 309 has been submitted for review so with any luck since it s not very controversial we ll have somewhere to put compose,NOT MATCHED,0,0,0,0,0,0,0
311,accepted, ,There appears to be no issues with the technical aspects of the PEP please correct me now if I am wrong,NOT MATCHED,0,0,0,0,0,0,0
322,accepted, ,The response was strongly positive but almost everyone preferred having a function instead of multiple object methods,NOT MATCHED,0,0,0,0,0,0,0
328,accepted, ,There hasn t been a lot of emotion attached and nobody has gotten seriously annoyed with the multiple dot idea,NOT MATCHED,0,0,0,0,0,0,0
338,accepted, ,If I don t hear any objections I ll switch SVN along with PEP 338 and the docs patch to the new non thread safe semantics sometime this weekend,NOT MATCHED,0,0,0,0,0,0,0
341,accepted, ,m 1 on accepting this now anybody against,NOT MATCHED,0,0,0,0,0,0,0
342,accepted, ,Amazingly none of those objections seem to be directed toward 342 which somehow seems on the verge of acceptance even without use cases clear motivation examples or a draft implementation,NOT MATCHED,0,0,0,0,0,0,0
343,accepted, ,As far as I am aware there aren t any more open issues so it is once again ready for BDFL pronouncement,NOT MATCHED,0,0,0,0,0,0,0
343,accepted, ,The following issues were resolved by BDFL approval and a lack of any major objections on python dev,NOT MATCHED,0,0,0,0,0,0,0
345,accepted, ,Most of the discussion has already taken place,NOT MATCHED,0,0,0,0,0,0,0
345,accepted, ,I ve reviewed PEP 345 and PEP 386 and am satisfied that after some small improvements they will be accepted,NOT MATCHED,0,0,0,0,0,0,0
